name, city, address, url_image
"Plaza De Castilla - Norte","Madrid","Plaza De Castilla - Norte","http://informo.munimadrid.es/informo/Camaras/Camara00001.jpg"
"Plaza De Castilla - Sur","Madrid","Plaza De Castilla - Sur","http://informo.munimadrid.es/informo/Camaras/Camara00002.jpg"
"Plaza De Cuzco","Madrid","Plaza De Cuzco","http://informo.munimadrid.es/informo/Camaras/Camara00003.jpg"
"Plaza De Lima","Madrid","Plaza De Lima","http://informo.munimadrid.es/informo/Camaras/Camara00004.jpg"
"Cuatro Caminos","Madrid","Cuatro Caminos","http://informo.munimadrid.es/informo/Camaras/Camara00005.jpg"
"Princesa - Paseo Moret","Madrid","Princesa - Paseo Moret","http://informo.munimadrid.es/informo/Camaras/Camara00006.jpg"
"Gta De San Vicente","Madrid","Gta De San Vicente","http://informo.munimadrid.es/informo/Camaras/Camara00008.jpg"
"Plaza De España - Bailén","Madrid","Plaza De España - Bailén","http://informo.munimadrid.es/informo/Camaras/Camara00009.jpg"
"Plaza De España - Gran Vía","Madrid","Plaza De España - Gran Vía","http://informo.munimadrid.es/informo/Camaras/Camara00010.jpg"
"Plaza De Callao","Madrid","Plaza De Callao","http://informo.munimadrid.es/informo/Camaras/Camara00011.jpg"
"Plaza De Gregorio Marañón","Madrid","Plaza De Gregorio Marañón","http://informo.munimadrid.es/informo/Camaras/Camara00013.jpg"
"Plaza República Dominicana","Madrid","Plaza República Dominicana","http://informo.munimadrid.es/informo/Camaras/Camara00014.jpg"
"República Argentina","Madrid","República Argentina","http://informo.munimadrid.es/informo/Camaras/Camara00016.jpg"
"Avda De América - Francisco Silvela","Madrid","Avda De América - Francisco Silvela","http://informo.munimadrid.es/informo/Camaras/Camara00017.jpg"
"Plaza De Colón","Madrid","Plaza De Colón","http://informo.munimadrid.es/informo/Camaras/Camara00019.jpg"
"Ventas","Madrid","Ventas","http://informo.munimadrid.es/informo/Camaras/Camara00020.jpg"
"Plaza De Manuel Becerra","Madrid","Plaza De Manuel Becerra","http://informo.munimadrid.es/informo/Camaras/Camara00021.jpg"
"Alcalá - Goya","Madrid","Alcalá - Goya","http://informo.munimadrid.es/informo/Camaras/Camara00022.jpg"
"Plaza De Conde De Casal","Madrid","Plaza De Conde De Casal","http://informo.munimadrid.es/informo/Camaras/Camara00023.jpg"
"Plaza De Legazpi","Madrid","Plaza De Legazpi","http://informo.munimadrid.es/informo/Camaras/Camara00024.jpg"
"Glorieta De Embajadores","Madrid","Glorieta De Embajadores","http://informo.munimadrid.es/informo/Camaras/Camara00025.jpg"
"Atocha Sur","Madrid","Atocha Sur","http://informo.munimadrid.es/informo/Camaras/Camara00026.jpg"
"Atocha Norte","Madrid","Atocha Norte","http://informo.munimadrid.es/informo/Camaras/Camara00027.jpg"
"Plaza Cibeles 1","Madrid","Plaza Cibeles 1","http://informo.munimadrid.es/informo/Camaras/Camara00028.jpg"
"Alcala - Gran Vía","Madrid","Alcala - Gran Vía","http://informo.munimadrid.es/informo/Camaras/Camara00029.jpg"
